1.0000, 0.0000
0.9979, 0.0654
0.9914, 0.1305
0.9808, 0.1951
0.9659, 0.2588
0.9469, 0.3214
0.9239, 0.3827
0.8969, 0.4423
0.8660, 0.5000
0.8315, 0.5556
0.7934, 0.6088
0.7518, 0.6593
0.7071, 0.7071
0.6593, 0.7518
0.6088, 0.7934
0.5556, 0.8315
0.5000, 0.8660
0.4423, 0.8969
0.3827, 0.9239
0.3214, 0.9469
0.2588, 0.9659
0.1951, 0.9808
0.1305, 0.9914
0.0654, 0.9979
0.0000, 1.0000
-0.0654, 0.9979
-0.1305, 0.9914
-0.1951, 0.9808
-0.2588, 0.9659
-0.3214, 0.9469
-0.3827, 0.9239
-0.4423, 0.8969
-0.5000, 0.8660
-0.5556, 0.8315
-0.6088, 0.7934
-0.6593, 0.7518
-0.7071, 0.7071
-0.7518, 0.6593
-0.7934, 0.6088
-0.8315, 0.5556
-0.8660, 0.5000
-0.8969, 0.4423
-0.9239, 0.3827
-0.9469, 0.3214
-0.9659, 0.2588
-0.9808, 0.1951
-0.9914, 0.1305
-0.9979, 0.0654
-1.0000, 0.0000
